course_id,course_name,exam_paper_based,class_electronic
IF1210,Dasar Pemrograman,True,True
IF2110,Algoritma & Struktur Data,False,False
IF2111,Algoritma dan Struktur Data STI,False,True
IF2112,Pemrograman Komputer,True,False
IF2120,Matematika Diskrit,True,False
IF2121,Logika Komputasional,True,False
IF2123,Aljabar Linier dan Geometri,False,False
IF2124,Teori Bahasa Formal dan Otomata,False,False
IF2130,Organisasi dan Arsitektur Komputer,True,False
IF2140,Pemodelan Basis Data,True,True
IF2210,Pemrograman Berorientasi Objek,False,True
IF2211,Strategi Algoritma,False,False
IF2212,Pemrograman Berorientasi Objek STI,False,True
IF2220,Probabilitas dan Statistika,False,True
IF2230,Sistem Operasi,True,False
IF2240,Basis Data,True,True
IF2250,Rekayasa Perangkat Lunak,True,True
IF3110,Pengembangan Aplikasi Berbasis Web,False,True
IF3130,Jaringan Komputer,False,True
IF3140,Manajemen Basis Data,True,True
IF3141,Sistem Informasi,True,False
IF3150,Manajemen Proyek Perangkat Lunak,True,False
IF3151,Interaksi Manusia Komputer,False,True
IF3152,Rekayasa Perangkat Lunak STI,False,True
IF3170,Inteligensi Buatan,True,False
IF3210,Pengembangan Aplikasi pada Platform Khusus,False,True
IF3230,Sistem Paralel dan Terdistribusi,True,True
IF3250,Proyek Perangkat Lunak,True,True
IF3260,Grafika Komputer,False,True
IF3270,Pembelajaran Mesin,False,True
IF3280,Socio-informatika dan Profesionalisme,False,True
IF4020,Kriptografi,False,True
IF4021,Pemodelan dan Simulasi,True,False
IF4031,Pengembangan Aplikasi Terdistribusi,False,False
IF4033,Keamanan dan Penjaminan Informasi,False,True
IF4040,Pemodelan Data Lanjut,True,False
IF4041,Ilmu Data dan Penggalian Data,False,True
IF4042,Sistem Temu Balik Informasi,True,True
IF4043,Sistem Informasi Lanjut,True,False
IF4044,Teknologi Big Data,True,False
IF4051,Pengembangan Sistem IoT,False,False
IF4052,Komputasi Layanan,False,True
IF4061,Visualisasi Data dan Informasi,False,True
IF4070,Representasi Pengetahuan dan Penalaran,False,True
IF4071,Pemrosesan Ucapan,False,False
IF4072,Pemrosesan Bahasa Alami,True,False
IF4073,Interpretasi dan Pengolahan Citra,False,False
IF4074,Pembelajaran Mesin Lanjut,False,True
IF4090,Kerja Praktek,True,False
IF4091,Tugas Akhir 1 dan Seminar,True,False
IF4092,Tugas Akhir 2,True,True
IF4150,Rekayasa Perangkat Lunak Spesifik Domain,True,False
IF5010,Sistem & Arsitektur Komputer A,True,True
IF5011,Sistem & Arsitektur Komputer B,True,True
IF5020,Algoritma & Pemrograman A,True,False
IF5021,Algoritma & Pemrograman B,True,True
IF5030,Manajemen Informasi A,True,True
IF5031,Manajemen Informasi B,True,True
IF5091,Pelaksanaan Penelitian 1,True,False
IF5092,Pelaksanaan Penelitian 2,True,False
IF5099,Metodologi Penelitian,False,True
IF5099,Metodologi Penelitian/Tesis 1,False,True
IF5100,Pemrograman untuk Data Analitik,False,True
IF5120,Rekayasa Kebutuhan Sistem & Perangkat Lunak,True,True
IF5120,Konsep Rekayasa Perangkat Lunak dan Penerapannya,True,True
IF5121,Analisis & Perancangan Perangkat Lunak,True,False
IF5121,Pengembangan Berbasis Komponen dan Berbasis Pola,True,False
IF5122,Pembangunan Perangkat Lunak,True,False
IF5123,Kualitas Perangkat Lunak,True,False
IF5124,Evolusi Perangkat Lunak,True,False
IF5130,Strategi Dijital,False,True
IF5130,Kerekayasaan Enterprise,False,True
IF5131,Pendekatan Sistem,True,True
IF5131,Pemodelan Enterprise,True,True
IF5132,Keberlanjutan Sistem Informasi,False,True
IF5132,Manajemen Resiko Enterprise,False,True
IF5133,Manajemen Proyek Sistem Informasi,True,False
