,year,semester,course_id,class_number,counts,key
0,2021,1,IF1210,1,6,2021-1-IF1210-1
1,2021,1,IF2110,1,59,2021-1-IF2110-1
2,2021,1,IF2110,2,60,2021-1-IF2110-2
3,2021,1,IF2110,3,57,2021-1-IF2110-3
4,2021,1,IF2111,1,57,2021-1-IF2111-1
5,2021,1,IF2111,2,59,2021-1-IF2111-2
6,2021,1,IF2112,1,79,2021-1-IF2112-1
7,2021,1,IF2112,2,78,2021-1-IF2112-2
8,2021,1,IF2120,1,58,2021-1-IF2120-1
9,2021,1,IF2120,2,58,2021-1-IF2120-2
10,2021,1,IF2120,3,56,2021-1-IF2120-3
11,2021,1,IF2121,1,56,2021-1-IF2121-1
12,2021,1,IF2121,2,56,2021-1-IF2121-2
13,2021,1,IF2121,3,55,2021-1-IF2121-3
14,2021,1,IF2123,1,57,2021-1-IF2123-1
15,2021,1,IF2123,2,56,2021-1-IF2123-2
16,2021,1,IF2123,3,56,2021-1-IF2123-3
17,2021,1,IF2124,1,60,2021-1-IF2124-1
18,2021,1,IF2124,2,59,2021-1-IF2124-2
19,2021,1,IF2124,3,57,2021-1-IF2124-3
20,2021,1,IF2130,1,62,2021-1-IF2130-1
21,2021,1,IF2130,2,57,2021-1-IF2130-2
22,2021,1,IF2130,3,58,2021-1-IF2130-3
23,2021,1,IF2140,1,59,2021-1-IF2140-1
24,2021,1,IF2140,2,60,2021-1-IF2140-2
25,2021,1,IF3110,1,56,2021-1-IF3110-1
26,2021,1,IF3110,2,56,2021-1-IF3110-2
27,2021,1,IF3110,3,55,2021-1-IF3110-3
28,2021,1,IF3110,4,56,2021-1-IF3110-4
29,2021,1,IF3130,1,54,2021-1-IF3130-1
30,2021,1,IF3130,2,55,2021-1-IF3130-2
31,2021,1,IF3130,3,54,2021-1-IF3130-3
32,2021,1,IF3130,4,57,2021-1-IF3130-4
33,2021,1,IF3140,1,57,2021-1-IF3140-1
34,2021,1,IF3140,2,59,2021-1-IF3140-2
35,2021,1,IF3140,3,56,2021-1-IF3140-3
36,2021,1,IF3140,4,59,2021-1-IF3140-4
37,2021,1,IF3141,1,54,2021-1-IF3141-1
38,2021,1,IF3141,2,56,2021-1-IF3141-2
39,2021,1,IF3141,3,54,2021-1-IF3141-3
40,2021,1,IF3141,4,55,2021-1-IF3141-4
41,2021,1,IF3150,1,55,2021-1-IF3150-1
42,2021,1,IF3150,2,56,2021-1-IF3150-2
43,2021,1,IF3150,3,55,2021-1-IF3150-3
44,2021,1,IF3150,4,56,2021-1-IF3150-4
45,2021,1,IF3151,1,57,2021-1-IF3151-1
46,2021,1,IF3151,2,55,2021-1-IF3151-2
47,2021,1,IF3151,3,54,2021-1-IF3151-3
48,2021,1,IF3151,4,54,2021-1-IF3151-4
49,2021,1,IF3152,1,57,2021-1-IF3152-1
50,2021,1,IF3152,2,51,2021-1-IF3152-2
51,2021,1,IF3170,1,57,2021-1-IF3170-1
52,2021,1,IF3170,2,55,2021-1-IF3170-2
53,2021,1,IF3170,3,55,2021-1-IF3170-3
54,2021,1,IF3170,4,56,2021-1-IF3170-4
55,2021,1,IF4020,1,59,2021-1-IF4020-1
56,2021,1,IF4031,1,34,2021-1-IF4031-1
57,2021,1,IF4040,1,24,2021-1-IF4040-1
58,2021,1,IF4041,1,60,2021-1-IF4041-1
59,2021,1,IF4043,1,54,2021-1-IF4043-1
60,2021,1,IF4052,1,7,2021-1-IF4052-1
61,2021,1,IF4071,1,46,2021-1-IF4071-1
62,2021,1,IF4072,1,68,2021-1-IF4072-1
63,2021,1,IF4074,1,54,2021-1-IF4074-1
64,2021,1,IF4090,1,15,2021-1-IF4090-1
65,2021,1,IF4091,1,78,2021-1-IF4091-1
66,2021,1,IF4091,2,77,2021-1-IF4091-2
67,2021,1,IF4092,1,31,2021-1-IF4092-1
68,2021,1,IF4150,1,3,2021-1-IF4150-1
69,2021,1,IF5010,1,28,2021-1-IF5010-1
