,major,year,semester,course_id,course_name,class_number,day,date,start_time,end_time,location,activity,is_online,key
0,MIF,2022,2,IF5099,Metodologi Penelitian,1,Kamis,2023-01-19,10:00,12:00,7608,Kuliah,Tatap Muka,2022-2-IF5099-1
1,MIF,2022,2,IF5099,Metodologi Penelitian,1,Kamis,2023-01-26,10:00,12:00,7608,Kuliah,Tatap Muka,2022-2-IF5099-1
2,MIF,2022,2,IF5099,Metodologi Penelitian,1,Rabu,2023-02-01,15:00,17:00,-,Kuliah,Tatap Muka,2022-2-IF5099-1
3,MIF,2022,2,IF5099,Metodologi Penelitian,1,Kamis,2023-02-09,10:00,12:00,7608,Kuliah,Tatap Muka,2022-2-IF5099-1
4,MIF,2022,2,IF5099,Metodologi Penelitian,1,Jumat,2023-02-10,10:00,11:00,7608,Kuliah,Tatap Muka,2022-2-IF5099-1
5,MIF,2022,2,IF5099,Metodologi Penelitian,1,Kamis,2023-02-16,10:00,12:00,7608,Kuliah,Tatap Muka,2022-2-IF5099-1
6,MIF,2022,2,IF5099,Metodologi Penelitian,1,Jumat,2023-02-17,10:00,11:00,7608,Kuliah,Tatap Muka,2022-2-IF5099-1
7,MIF,2022,2,IF5099,Metodologi Penelitian,1,Kamis,2023-02-23,10:00,12:00,7608,Kuliah,Tatap Muka,2022-2-IF5099-1
8,MIF,2022,2,IF5099,Metodologi Penelitian,1,Jumat,2023-02-24,10:00,11:00,7608,Kuliah,Tatap Muka,2022-2-IF5099-1
9,MIF,2022,2,IF5099,Metodologi Penelitian,1,Kamis,2023-03-02,10:00,12:00,7608,Kuliah,Tatap Muka,2022-2-IF5099-1
10,MIF,2022,2,IF5099,Metodologi Penelitian,1,Jumat,2023-03-03,10:00,11:00,7608,Kuliah,Tatap Muka,2022-2-IF5099-1
11,MIF,2022,2,IF5099,Metodologi Penelitian,1,Kamis,2023-03-09,10:00,12:00,7608,Kuliah,Tatap Muka,2022-2-IF5099-1
12,MIF,2022,2,IF5099,Metodologi Penelitian,1,Jumat,2023-03-10,10:00,11:00,7608,Kuliah,Tatap Muka,2022-2-IF5099-1
13,MIF,2022,2,IF5099,Metodologi Penelitian,1,Kamis,2023-03-16,10:00,12:00,7608,Kuliah,Tatap Muka,2022-2-IF5099-1
14,MIF,2022,2,IF5099,Metodologi Penelitian,1,Jumat,2023-03-17,10:00,11:00,7608,Kuliah,Tatap Muka,2022-2-IF5099-1
15,MIF,2022,2,IF5099,Metodologi Penelitian,1,Kamis,2023-03-23,10:00,12:00,7608,Kuliah,Tatap Muka,2022-2-IF5099-1
16,MIF,2022,2,IF5099,Metodologi Penelitian,1,Jumat,2023-03-24,10:00,11:00,7608,Kuliah,Tatap Muka,2022-2-IF5099-1
17,MIF,2022,2,IF5099,Metodologi Penelitian,1,Kamis,2023-03-30,10:00,12:00,7608,Kuliah,Tatap Muka,2022-2-IF5099-1
18,MIF,2022,2,IF5099,Metodologi Penelitian,1,Jumat,2023-03-31,10:00,11:00,7608,Kuliah,Tatap Muka,2022-2-IF5099-1
