,major,year,semester,course_id,course_name,day,date,start_time,end_time,location,activity,is_online,counts
0,IF,2021,1,IF2110,Algoritma & Struktur Data,Kamis,2021-08-26,11:00,13:00,-,Praktikum,Online,176
1,IF,2021,1,IF2110,Algoritma & Struktur Data,Kamis,2021-09-02,11:00,13:00,-,Praktikum,Online,176
2,IF,2021,1,IF2110,Algoritma & Struktur Data,Kamis,2021-09-09,11:00,13:00,-,Praktikum,Online,176
3,IF,2021,1,IF2110,Algoritma & Struktur Data,Kamis,2021-09-16,11:00,13:00,-,Praktikum,Online,176
4,IF,2021,1,IF2110,Algoritma & Struktur Data,Kamis,2021-09-23,11:00,13:00,-,Praktikum,Online,176
5,IF,2021,1,IF2110,Algoritma & Struktur Data,Kamis,2021-09-30,11:00,13:00,-,Praktikum,Online,176
6,IF,2021,1,IF2110,Algoritma & Struktur Data,Kamis,2021-10-07,11:00,13:00,-,Praktikum,Online,176
7,IF,2021,1,IF2110,Algoritma & Struktur Data,Kamis,2021-10-14,11:00,13:00,-,Praktikum,Online,176
8,IF,2021,1,IF2110,Algoritma & Struktur Data,Kamis,2021-10-21,11:00,13:00,-,Praktikum,Online,176
9,IF,2021,1,IF2110,Algoritma & Struktur Data,Kamis,2021-10-28,11:00,13:00,-,Praktikum,Online,176
10,IF,2021,1,IF2110,Algoritma & Struktur Data,Kamis,2021-11-04,11:00,13:00,-,Praktikum,Online,176
11,IF,2021,1,IF2110,Algoritma & Struktur Data,Kamis,2021-11-11,11:00,13:00,-,Praktikum,Online,176
12,IF,2021,1,IF2110,Algoritma & Struktur Data,Kamis,2021-11-18,11:00,13:00,-,Praktikum,Online,176
13,IF,2021,1,IF2110,Algoritma & Struktur Data,Kamis,2021-11-25,11:00,13:00,-,Praktikum,Online,176
14,IF,2021,1,IF2110,Algoritma & Struktur Data,Kamis,2021-12-02,11:00,13:00,-,Praktikum,Online,176
15,STI,2021,1,IF2111,Algoritma & Struktur Data STI,Kamis,2021-08-26,11:00,13:00,-,Praktikum,Online,116
16,STI,2021,1,IF2111,Algoritma & Struktur Data STI,Kamis,2021-09-02,11:00,13:00,-,Praktikum,Online,116
17,STI,2021,1,IF2111,Algoritma & Struktur Data STI,Kamis,2021-09-09,11:00,13:00,-,Praktikum,Online,116
18,STI,2021,1,IF2111,Algoritma & Struktur Data STI,Kamis,2021-09-16,11:00,13:00,-,Praktikum,Online,116
